No,Title,Image,Rating,ProdLink,TotalReviews,Price,OrgPrice,CouponsDesc,CouponsSummery,CouponPrice,PercentReduction,id
215,"HP Stream 11.6-inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 32 GB eMMC, Windows 10 Home in S Mode with Office 365 Personal for 1 Year (11-ak0010nr, Royal Blue)",https://m.media-amazon.com/images/I/71idFa2cEuL._AC_UY218_.jpg,4.3 out of 5 stars,https://www.amazon.com/HP-11-6-inch-Celeron-Personal-11-ak0010nr/dp/B0886JS35F/ref=sr_1_182?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286594&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-182,1163.0,99.25,236.99,FREE Shipping by Amazon,More Buying Choices,99.25,58.1205958057,215
371,"HP Chromebook 14-Inch Laptop with 180-Degree Hinge, Full HD Screen, AMD Dual-Core A4-9120 Processor, 4 GB SDRAM, 32 GB eMMC Storage, Chrome OS (14-db0050nr, Snow White)",https://m.media-amazon.com/images/I/91saq89jFyL._AC_UY218_.jpg,4.4 out of 5 stars,https://www.amazon.com/HP-Chromebook-180-degree-Dual-Core-14-db0050nr/dp/B07MN1T8HP/ref=sr_1_332?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286694&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-332,5001.0,121.89,261.4,FREE Shipping by Amazon,-7%,121.89,53.3703136955,371
216,"HP Chromebook 14-inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 32 GB eMMC, Chrome (14a-na0020nr, Ceramic White)",https://m.media-amazon.com/images/I/91XR+02AJBL._AC_UY218_.jpg,4.5 out of 5 stars,https://www.amazon.com/HP-Chromebook-14-Inch-Celeron-14a-na0020nr/dp/B08529BZSQ/ref=sr_1_183_mod_primary_new?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286594&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=Hp+%2Caps%2C654&sr=1-183,5816.0,119.99,249.0,FREE Shipping,More Buying Choices,119.99,51.8112449799,216
195,"Newest HP 14"" HD WLED Backlit High Performance Business Laptop, AMD Athlon Silver 3050U up to 3.2GHz, 4GB DDR4, 128GB SSD, Wireless-AC, HDMI, Bluetooth, Webcam, SD Card Reader, Windows 10 S",https://m.media-amazon.com/images/I/61GQjwV30LL._AC_UY218_.jpg,4.4 out of 5 stars,https://www.amazon.com/HP-14-Performance-Wireless-AC-Bluetooth/dp/B087N5LKNL/ref=sr_1_167?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286581&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-167,1193.0,139.0,281.0,FREE Shipping by Amazon,More Buying Choices,139.0,50.5338078292,195
452,"HP 14 14"" HD SVA Anti-Glare Micro-Edge WLED-backlit Laptop for Students, AMD Athlon 3050U 2.3GHz up to 3.2GHz, 4GB DDR4, 128GB SSD, Wi-Fi 5, Bluetooth 4.2, HDMI, Webcam, Windows 10 S, Accessory Bundle",https://m.media-amazon.com/images/I/71ZGLRcKWxL._AC_UY218_.jpg,4.5 out of 5 stars,https://www.amazon.com/HP-Anti-Glare-Micro-Edge-WLED-backlit-Bluetooth/dp/B087N73SHT/ref=sr_1_398?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286736&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-398,398.0,149.0,297.97,FREE Shipping by Amazon,More Buying Choices,149.0,49.9949659362,452
267,"HP 14 Laptop, AMD 3020e, 4 GB RAM, 64 GB eMMC Storage, 14-inch HD Touchscreen, Windows 10 Home in S Mode, Long Battery Life, Microsoft 365, (14-fq0040nr, 2020)",https://m.media-amazon.com/images/I/81H2GbwVaXL._AC_UY218_.jpg,4.5 out of 5 stars,https://www.amazon.com/HP-Storage-Touchscreen-Microsoft-14-fq0040nr/dp/B08CM17RPZ/ref=sr_1_242?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286634&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-242,545.0,121.49,239.99,FREE Shipping by Amazon,-20%,121.49,49.3770573774,267
301,"HP 14 Laptop, AMD 3020e, 4 GB RAM, 64 GB eMMC Storage, 14-inch HD Display, Windows 10 Home in S Mode, Long Battery Life, Microsoft 365, (14-fq0020nr, 2020)",https://m.media-amazon.com/images/I/81uLZBBMdTL._AC_UY218_.jpg,4.4 out of 5 stars,https://www.amazon.com/HP-Storage-14-inch-Microsoft-14-fq0020nr/dp/B08CMCZJ96/ref=sr_1_271?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286663&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-271,504.0,119.0,229.99,FREE Shipping,-12%,119.0,48.25861994,301
242,"HP 14 Laptop, AMD 3020e, 4 GB RAM, 64 GB eMMC Storage, 14-inch HD Display, Windows 10 Home in S Mode, Long Battery Life, Microsoft 365, (14-fq0010nr, 2020)",https://m.media-amazon.com/images/I/81HWnf-usnL._AC_UY218_.jpg,4.3 out of 5 stars,https://www.amazon.com/HP-Storage-14-inch-Microsoft-14-fq0010nr/dp/B08CMB8F7C/ref=sr_1_222?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286613&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-222,227.0,139.0,229.6,FREE Shipping by Amazon,-12%,139.0,39.4599303136,242
307,"2022 Newest HP Pavilion Laptop, 15.6"" Full HD Touchscreen, Intel Core i7-1165G7 Quad-Core Processor, 32GB RAM, 1TB PCIe NVMe SSD, Backlit Keyboard, Webcam, HDMI, Wi-Fi 6, Bluetooth, Windows 11 Home",https://m.media-amazon.com/images/I/81nIMMUBxDL._AC_UY218_.jpg,4.4 out of 5 stars,https://www.amazon.com/HP-Pavilion-Touchscreen-i7-1165G7-Quad-Core/dp/B09RQZ6TJ3/ref=sr_1_278?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286663&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-278,10.0,719.0,1149.0,,More Buying Choices,719.0,37.4238468233,307
328,"HP 14-fq0032ms Laptop for Business and Student, 14"" LED Touchscreen, AMD Ryzen 3 3250U Processor(up to 3.5 GHz), 8GB RAM, 128GB SSD, Webcam, WiFi, Ethernet, HDMI, USB-A&C, Win10",https://m.media-amazon.com/images/I/716CXZDcoQL._AC_UY218_.jpg,4.4 out of 5 stars,https://www.amazon.com/HP-14-fq0032ms-Business-Touchscreen-Processor/dp/B08QHH5BZR/ref=sr_1_293?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286680&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-293,398.0,249.0,388.95,FREE Shipping,-5%,249.0,35.9814886232,328
