,Title,ProdLink,TotalReviews,CouponPrice,PercentReduction
51,"TEMI 8 Channels 2.4G Remote Control Dinosaur Toys for Kids 3-5, Boys Girls 4-7 Years, Electric RC Toys Walking T- Rex with Lights and Sounds Powered by Rechargeable Battery, 360° Rotation Stunt",https://www.amazon.com/TEMI-Electronic-Educational-Tyrannosaurus-Rechargeable/dp/B07DGTSQ21/ref=sr_1_46?crid=23X2CHTW4649I&keywords=toys&qid=1651201775&refinements=p_72%3A1248963011&rnid=1248961011&s=toys-and-games&sprefix=toys%2Caps%2C170&sr=1-46,4809.0,33.99,62.19132369299222
79,"Baby Toys 6 to 12 Months Touch & Go Musical Light Infant Toys, Baby Crawling Toys 6 Month Old Baby Toys 12-18 Months, Tummy Time Toys for 1 Year Old Boy Gifts Girl Toy, Baby Toddler Boy Toys Age 1-2",https://www.amazon.com/Dinosaur-Electronic-Crawling-Development-Educational/dp/B082G4QRKL/ref=sr_1_57?crid=23X2CHTW4649I&keywords=toys&qid=1651201784&refinements=p_72%3A1248963011&rnid=1248961011&s=toys-and-games&sprefix=toys%2Caps%2C170&sr=1-57,2653.0,18.69,58.45743498555235
3,"Jasonwell Splash Pad Sprinkler for Kids 68"" Splash Play Mat Outdoor Water Toys Inflatable Splash Pad Baby Toddler Pool Boys Girls Children Outside Backyard Dog Sprinkler Pool for Age 1 2 3 4 5 6 7 8 9",https://www.amazon.com/Jasonwell-Sprinkle-Sprinkler-Toddlers-Children/dp/B07LG9CGF1/ref=sr_1_4?crid=23X2CHTW4649I&keywords=toys&qid=1651201763&refinements=p_72%3A1248963011&rnid=1248961011&s=toys-and-games&sprefix=toys%2Caps%2C170&sr=1-4,11005.0,17.991,53.85739933316235
10,"HOLA Baby Toys 6 to 12 Months, Baby Rattles Activity Ball, Shaker, Grab and Spin Rattle, Crawling Educational Toys for 3, 6, 9, 12 Months Baby Infant, Boys, Girls",https://www.amazon.com/HOLA-Rattles-Activity-Crawling-Educational/dp/B08KP4JFDM/ref=sr_1_12?crid=23X2CHTW4649I&keywords=toys&qid=1651201763&refinements=p_72%3A1248963011&rnid=1248961011&s=toys-and-games&sprefix=toys%2Caps%2C170&sr=1-12,1035.0,14.2215,52.579193064354776
24,"Bravokids Toys for 3-6 Years Old Girls Boys, LCD Writing Tablet 10 Inch Doodle Board, Electronic Drawing Tablet Drawing Pads, Educational Birthday Gift for 3 4 5 6 7 8 Years Old Kids Toddler (Pink)",https://www.amazon.com/Bravokids-Writing-Electronic-Educational-Birthday/dp/B083BCTLP5/ref=sr_1_26?crid=23X2CHTW4649I&keywords=toys&qid=1651201763&refinements=p_72%3A1248963011&rnid=1248961011&s=toys-and-games&sprefix=toys%2Caps%2C170&sr=1-26,19023.0,14.4837,51.70490163387795
47,"LUKAT Splash Pad for Kids, Inflatable Sprinkler Pad for Toddlers Kiddie Pool, Dolphin Water Play Mat for Outdoor Backyard, Wading Swimming Pool Water Toy Gift for 3 4 5 + Years Old Boys Girls",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_toys-and-games_sr_pg2_1?ie=UTF8&adId=A02496073JTFNO1KR587F&qualifier=1651201775&id=8260669810008671&widgetName=sp_mtf&url=%2FLUKAT-Inflatable-Sprinkler-Toddlers-Swimming%2Fdp%2FB08T5NRV5X%2Fref%3Dsr_1_42_sspa%3Fcrid%3D23X2CHTW4649I%26keywords%3Dtoys%26qid%3D1651201775%26refinements%3Dp_72%253A1248963011%26rnid%3D1248961011%26s%3Dtoys-and-games%26sprefix%3Dtoys%252Caps%252C170%26sr%3D1-42-spons%26psc%3D1,118.0,16.014,51.45801758108518
97,"RenFox Musical Piano Mat, Toddlers Music Floor Keyboard Blanket Dance Mat with 8 Different Animal Sounds, Early Learning Educational Toys Gift for 1 2 3 4 Years Old Baby Boy Girl",https://www.amazon.com/RenFox-Electronic-Different-Education-Batteries/dp/B0863CGZ6Y/ref=sr_1_77?crid=23X2CHTW4649I&keywords=toys&qid=1651201791&refinements=p_72%3A1248963011&rnid=1248961011&s=toys-and-games&sprefix=toys%2Caps%2C170&sr=1-77,3147.0,12.99,50.01923816852635
124,"RenFox Musical Piano Mat, Toddlers Music Floor Keyboard Blanket Dance Mat with 8 Different Animal Sounds, Early Learning Educational Toys Gift for 1 2 3 4 Years Old Baby Boy Girl",https://www.amazon.com/RenFox-Electronic-Different-Education-Batteries/dp/B0863CGZ6Y/ref=sr_1_77?crid=23X2CHTW4649I&keywords=toys&qid=1651201791&refinements=p_72%3A1248963011&rnid=1248961011&s=toys-and-games&sprefix=toys%2Caps%2C170&sr=1-77,3147.0,12.99,50.01923816852635
6,"Toys for 3-8 Year Old Girls,Timer Rotation Star Night Light Projector Kids Twinkle Lights, 2-9 Year Olds Girl Gifts Kawaii Birthday Easter Gifts for Kids,Gift for Teen Toddler Baby Girls",https://www.amazon.com/Projection-Christmas-Birthday-Stocking-Stuffer/dp/B08NJP91NW/ref=sr_1_8?crid=23X2CHTW4649I&keywords=toys&qid=1651201763&refinements=p_72%3A1248963011&rnid=1248961011&s=toys-and-games&sprefix=toys%2Caps%2C170&sr=1-8,3388.0,20.784,48.02700675168793
82,NARRIO Interactive Alphabet Wall Chart for Kids - Best Gifts,https://www.amazon.com/NARRIO-Educational-Interactive-Alphabet-Christmas/dp/B092PSR6ZC/ref=sr_1_60?crid=23X2CHTW4649I&keywords=toys&qid=1651201784&refinements=p_72%3A1248963011&rnid=1248961011&s=toys-and-games&sprefix=toys%2Caps%2C170&sr=1-60,1532.0,13.592,47.70296267795305
